542,Lubnac,12823027,01,0128,012823
543,Mabanbanag,12823028,01,0128,012823
544,Alejo Malasig,12823030,01,0128,012823
545,Manarang,12823031,01,0128,012823
546,Margaay,12823033,01,0128,012823
547,Namoroc,12823035,01,0128,012823
548,Malampa,12823038,01,0128,012823
549,Parparoroc,12823039,01,0128,012823
550,Parut,12823040,01,0128,012823
551,Salsalamagui,12823047,01,0128,012823
552,San Jose,12823049,01,0128,012823
553,San Nicolas (Pob.),12823050,01,0128,012823
554,San Pedro (Pob.),12823051,01,0128,012823
555,San Ramon (Pob.),12823052,01,0128,012823
556,San Roque (Pob.),12823053,01,0128,012823
557,Santa Maria (Pob.),12823054,01,0128,012823
558,Tamdagan,12823056,01,0128,012823
559,Visaya,12823058,01,0128,012823
560,Alilem Daya (Pob.),12901001,01,0129,012901
561,Amilongan,12901002,01,0129,012901
562,Anaao,12901003,01,0129,012901
563,Apang,12901004,01,0129,012901
564,Apaya,12901005,01,0129,012901
565,Batbato,12901006,01,0129,012901
566,Daddaay,12901010,01,0129,012901
567,Dalawa,12901011,01,0129,012901
568,Kiat,12901013,01,0129,012901
569,Bagbagotot,12902001,01,0129,012902
570,Banbanaal,12902002,01,0129,012902
571,Bisangol,12902004,01,0129,012902
572,Cadanglaan,12902005,01,0129,012902
573,Casilagan Norte,12902006,01,0129,012902
574,Casilagan Sur,12902007,01,0129,012902
575,Elefante,12902008,01,0129,012902
576,Guardia,12902009,01,0129,012902
577,Lintic,12902010,01,0129,012902
578,Lopez,12902011,01,0129,012902
579,Montero,12902012,01,0129,012902
580,Naguimba,12902013,01,0129,012902
581,Pila,12902014,01,0129,012902
582,Poblacion,12902015,01,0129,012902
583,Aggay,12903001,01,0129,012903
584,An-annam,12903002,01,0129,012903
585,Balaleng,12903003,01,0129,012903
586,Banaoang,12903004,01,0129,012903
587,Bulag,12903005,01,0129,012903
588,Buquig,12903006,01,0129,012903
589,Cabalanggan,12903007,01,0129,012903
590,Cabaroan,12903008,01,0129,012903
591,Cabusligan,12903009,01,0129,012903
592,Capangdanan,12903010,01,0129,012903
593,Guimod,12903011,01,0129,012903
594,Lingsat,12903012,01,0129,012903
595,Malingeb,12903013,01,0129,012903
596,Mira,12903014,01,0129,012903
597,Naguiddayan,12903015,01,0129,012903
598,Ora,12903016,01,0129,012903
599,Paing,12903017,01,0129,012903
600,Puspus,12903018,01,0129,012903
601,Quimmarayan,12903019,01,0129,012903
602,Sagneb,12903020,01,0129,012903
603,Sagpat,12903021,01,0129,012903
604,San Mariano,12903022,01,0129,012903
605,San Isidro,12903023,01,0129,012903
606,San Julian,12903024,01,0129,012903
607,Sinabaan,12903026,01,0129,012903
608,Taguiporo,12903027,01,0129,012903
609,Taleb,12903028,01,0129,012903
610,Tay-ac,12903029,01,0129,012903
611,Barangay 1 (Pob.),12903030,01,0129,012903
